,content,id,lat,location,lon,time,user,user_id
1214,@stonehillwbb Over the snow and thru the trees to the NCAA East Region you go 😂😂 👊🏼🏀🔥 #GoHill,971790545998761984,,Boston,,2018-03-08 16:51:35,linarambles,284676956
1215,Well at least the pups are able to enjoy this snow day!,971790483910463488,,Other Mass.,,2018-03-08 16:51:21,WellingtonPl,64482977
1217,The most dangerous part of a snow storm in Boston? The parking war that will inevitably begin with your neighbors. #stopharassingme!,971790471025569792,,Boston,,2018-03-08 16:51:17,outspokenRDH,408959912
1218,Do your part to restore #access by removing #MAsnow from sidewalks and curb cuts. #accessibility @DisabilityBOS  https://t.co/pG60qDwD2l,971790467963801600,,Boston,,2018-03-08 16:51:17,MassDisability,3131537727
1219,so glad I missed that snow storm,971790462611795968,,Boston,,2018-03-08 16:51:15,stephanbruh,268578032
122,@StoryBoardGamer Enjoy snow!,971895985503981568,,Boston,,2018-03-08 23:50:34,scottwholley,120159551
1221,@EAHelp Any clue on a time frame? Tough this happens on a snow day where a ton of kids are home from school,971790229458882560,,Boston,,2018-03-08 16:50:20,Zetatron76,245190739
1222,"On @NBC10Boston at noon: the latest on the heavy snow moving out, and what we know about the track of yet another s… https://t.co/b0raWDKGmI",971790225855930368,,Boston,,2018-03-08 16:50:19,MichaelPageWx,22547286
1223,Beautiful post storm scenery in #PeabodyMA #Boston #northshore #snow #weather @MattNBCBoston @7News @WCVB… https://t.co/EMoYdnakS7,971790218109095936,,Boston,,2018-03-08 16:50:17,HappyGuest,20406952
1224,"Nor’easter #2 within a week! Nothing like a wet, heavy snow! https://t.co/KgJasXC3uL",971790145564405760,,Boston,,2018-03-08 16:50:00,PaulStickYou,1099758960
